,suburb,median_price,p_type
229,Main Ridge,540000,unit
441,Maldon,510000,house
442,Mallacoota,406500,house
443,Malmsbury,475000,house
444,Malvern,2550000,house
256,Malvern,720000,unit
445,Malvern East,1770000,house
257,Malvern East,633500,unit
230,Malvern North,1467500,house
231,Malvern North,641500,unit
232,Mambourin,632500,house
233,Mambourin,422500,unit
446,Manangatang,97000,house
447,Manifold Heights,715000,house
258,Manifold Heights,339000,unit
448,Manor Lakes,535000,house
449,Mansfield,456000,house
259,Mansfield,340000,unit
450,Marengo,687500,house
451,Maribyrnong,987500,house
260,Maribyrnong,510000,unit
452,Marong,420000,house
453,Marshall,486500,house
454,Maryborough,235500,house
261,Maryborough,208000,unit
234,Maryknoll,592250,house
235,Maryknoll,428750,unit
455,Marysville,462500,house
236,McCrae,797500,house
237,McCrae,540000,unit
456,Mccrae,795000,house
262,Mccrae,700000,unit
457,Mckenzie Hill,536500,house
458,McKinnon,1525000,house
263,McKinnon,785000,unit
238,Mcmahons Creek,518750,house
239,Mcmahons Creek,429500,unit
459,Meadow Heights,472500,house
264,Meadow Heights,376500,unit
265,Melbourne,474000,unit
240,Melbourne Airport,614125,house
241,Melbourne Airport,450250,unit
242,Melbourne University,950000,house
243,Melbourne University,521000,unit
460,Melton,385000,house
266,Melton,314000,unit
461,Melton South,390000,house
267,Melton South,299500,unit
462,Melton West,424000,house
268,Melton West,362000,unit
463,Mentone,1028000,house
269,Mentone,600000,unit
244,Mentone East,1228250,house
245,Mentone East,637125,unit
464,Menzies Creek,682500,house
465,Merbein,210000,house
466,Merinda Park,477000,house
246,Merlynston,932250,house
247,Merlynston,546500,unit
467,Mernda,552000,house
270,Mernda,385500,unit
248,Merricks,797500,house
249,Merricks,540000,unit
250,Merricks Beach,797500,house
251,Merricks Beach,540000,unit
252,Merricks North,797500,house
